beet,Path,Annotation
362,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\363,اليوم
363,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\364,مضاد
364,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\365,حيوي ع
365,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\366,مرتين
366,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\367,في
367,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\368,اليوم
368,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\369,لمدة
369,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\370,أيام
370,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\371,عبدالله
371,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\372,سالم
372,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\373,ذكر
373,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\374,ملاحظة
374,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\375,لاستخدام ع
375,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\376,مسكن
376,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\377,الام :
377,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\378,مرتين
378,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\379,في
379,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\380,اليوم
380,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\381,مرتين
381,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\382,في
382,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\383,اليوم
383,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\384,فاضل
384,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\385,خميس
385,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\386,ذكر
386,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\387,سنة
387,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\388,ملاحظة
388,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\389,الاستخدام ع
389,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\390,أدول
390,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\391,مرتين
391,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\392,في
392,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\393,اليوم
393,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\394,مضاد
394,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\395,حيوي :
395,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\396,واحدة
396,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\397,في
397,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\398,اليوم
398,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\399,مرتين
399,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\400,في
400,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\401,اليوم
401,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\402,مها
402,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\403,سلام
403,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\404,سنتيين
404,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\405,ملاحظة
405,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\406,الاستخدام ع
406,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\407,مع
407,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\408,الاكل
408,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\409,مرتين
409,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\410,في
410,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\411,اليوم
411,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\412,أربع
412,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\413,مرات
413,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\414,في
414,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\415,اليوم
415,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\416,مرتين
416,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\417,في
417,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\418,اليوم
418,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\419,هلا
419,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\420,أحمد
420,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\421,انثى
421,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\422,سنوات
422,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\423,ملاحظة
423,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\424,الاستخدام ع
424,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\425,مضاد
425,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\426,حيوي
426,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\427,مل
427,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\428,ثلاث
428,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\429,مرات
429,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\430,في
430,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\431,اليوم
431,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\432,مرتين
432,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\433,في
433,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\434,اليوم
434,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\435,أدول
435,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\436,ثلاث
436,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\437,مرات
437,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\438,في
438,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\439,اليوم
439,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\440,قيس
440,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\441,سالم
441,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\442,ذكر
442,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\443,سنة
443,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\444,ملاحظة
444,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\445,الاستخدام ع
445,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\446,أدول
446,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\447,مرتين
447,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\448,في
448,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\449,اليوم
449,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\450,مضاد
450,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\451,حيوي ع
451,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\452,مرتين
452,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\453,في
453,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\454,اليوم
454,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\455,للبلغم
455,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\456,مرتين
456,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\457,في
457,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\458,اليوم
458,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\459,أيام
